"프로젝트 이름","SYSO"
"날짜 범위","06/12/2026 오전 12:00 - 06/14/2026 오후 11:59"


"총 세션 수","48"

"날짜","시간","세션 기간","항목 URL","종료 URL","참조:","명확성 사용자 ID","브라우저","디바이스","OS","국가","페이지 수","세션 클릭","북마크","레코딩 링크"
"06/14/2026","오전 03:32","00:01","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeomYJREYz2hXA00YdEwo_s299mZfbjNAK20wvC0W2gdEgc0v3B52UibyRTLw_aem_w-pcQZjQwGLrZHRYoVRxnQ","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeomYJREYz2hXA00YdEwo_s299mZfbjNAK20wvC0W2gdEgc0v3B52UibyRTLw_aem_w-pcQZjQwGLrZHRYoVRxnQ","https://instagram.com/","b4g1dw","InstagramApp","Mobile","Android","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/b4g1dw/fgl92n/?ss=1781375554000&sd=1"
"06/14/2026","오전 02:04","01:23","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAadl9NHXONKn1d-awo10IqCbBTwkRSTAKnwokxquzwkrjuGYjGb3ANfGf_LFVA_aem_JIgLD10Bt5ZWw1J73UN8Cg","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAadl9NHXONKn1d-awo10IqCbBTwkRSTAKnwokxquzwkrjuGYjGb3ANfGf_LFVA_aem_JIgLD10Bt5ZWw1J73UN8Cg","https://instagram.com/","1deifhi","InstagramApp","Mobile","Android","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/1deifhi/1c5uisb/?ss=1781370298000&sd=83"
"06/13/2026","오후 10:21","00:38","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAadg8XH97UJoziUQKyR-Okv8NyI0eoII82E1z9tQMw8OPsBYjbuY8NVRZMbA0w_aem_lb-O4kchdqMtPeWifGXSUw","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAadg8XH97UJoziUQKyR-Okv8NyI0eoII82E1z9tQMw8OPsBYjbuY8NVRZMbA0w_aem_lb-O4kchdqMtPeWifGXSUw","https://instagram.com/","1msxbxe","ChromeMobile","Tablet","Android","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/1msxbxe/1pyhz59/?ss=1781356910000&sd=38"
"06/13/2026","오후 09:59","14:57","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaeFOhkaqTa2ssJwrqM5lwxw-i6wY_0H-4NuwxzvkLGmjtaeiwnPpM4XgmUXCg_aem_HWAFirRKHsJMgjlESa2_-Q","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAae0qE70h-NzsQbXlV6ftWBSyh9GetcEqoLhOHM7vFSLBFCUrqQ23znT7xA4JQ_aem_8ZmaI7zlwt0RplOdET9wlg","https://instagram.com/","lf3hnt","InstagramApp","Mobile","Android","Korea","2","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/lf3hnt/1tun9vt/?ss=1781355543000&sd=897"
"06/13/2026","오후 08:34","00:33","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAadZtn5J4ktLZSOruld5EhHlUJnFJpf_a0IVpBSIz18JeQHx1btUBW5PGRVsHQ_aem_T86y48EAxNUSC3MSi82WRQ","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAadZtn5J4ktLZSOruld5EhHlUJnFJpf_a0IVpBSIz18JeQHx1btUBW5PGRVsHQ_aem_T86y48EAxNUSC3MSi82WRQ","https://instagram.com/","9tzhbh","InstagramApp","Mobile","Android","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/9tzhbh/14v6apu/?ss=1781350488000&sd=33"
"06/13/2026","오후 08:34","00:20","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAacZ_2hCgIE4mDEfRIyBXsVnT3VYnqf3ePRrcYpZC0vrCA8oENxl5bjdTfn_8A_aem_bSQcSSrlsBSTWpzI2GISfg","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAacZ_2hCgIE4mDEfRIyBXsVnT3VYnqf3ePRrcYpZC0vrCA8oENxl5bjdTfn_8A_aem_bSQcSSrlsBSTWpzI2GISfg","https://instagram.com/","184g6kk","InstagramApp","Mobile","Android","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/184g6kk/npep9i/?ss=1781350470000&sd=20"
"06/13/2026","오후 08:30","00:06","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafc8LcHt6I7l9IZL8E55H2tQEse9UeGvUfN94982ttvl4Vvuri_8c1xot7h7w_aem_SHbFMNSXC7UVthUo6xP56w","https://sysosyso.vercel.app/ab?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457389610654&utm_term=120248457390830654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-Wlk5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafc8LcHt6I7l9IZL8E55H2tQEse9UeGvUfN94982ttvl4Vvuri_8c1xot7h7w_aem_SHbFMNSXC7UVthUo6xP56w","https://instagram.com/","1xgvcnn","InstagramApp","Mobile","iOS","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/1xgvcnn/14mu7q4/?ss=1781350218000&sd=6"
"06/13/2026","오후 04:46","00:01","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaeV78X_CSXooljqoiqs75crioEh52D82-Ti6Mk7d7AvayZT4tcD6J-FVhIgBA_aem_oU8B6K4kxRNet2YxQ3I96A","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaeV78X_CSXooljqoiqs75crioEh52D82-Ti6Mk7d7AvayZT4tcD6J-FVhIgBA_aem_oU8B6K4kxRNet2YxQ3I96A","https://instagram.com/","ia7b2p","InstagramApp","Mobile","iOS","Japan","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/ia7b2p/115rccr/?ss=1781336780000&sd=1"
"06/13/2026","오후 03:02","00:47","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaex-f9MZ6rSPlbYmtmKyBemetoLoXvEixlRqt_bXo8eEOCr07TiCkyRWK-r3w_aem_BakYsRg9fr0wjPvDfsRrLA","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaex-f9MZ6rSPlbYmtmKyBemetoLoXvEixlRqt_bXo8eEOCr07TiCkyRWK-r3w_aem_BakYsRg9fr0wjPvDfsRrLA","http://instagram.com/","w11hzf","InstagramApp","Mobile","Android","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/w11hzf/1inmsjf/?ss=1781330561000&sd=47"
"06/13/2026","오후 02:48","00:16","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadZu4PyoH9vdKMlJqf7itzn3WCqSWJ3wSS5Lon2LW4Q2Wdfq3SdkBj34i_mKA_aem_hwAknMLwY6WQM4KXH1x4dQ","https://sysosyso.vercel.app/b?utm_source=test&utm_medium=internal&utm_campaign=dev_test&utm_content=hub&utm_id=120248457337170654&utm_term=120248457337390654&fbclid=PAZXh0bgNhZW0BMABhZGlkAas1Xs-J7B5zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadZu4PyoH9vdKMlJqf7itzn3WCqSWJ3wSS5Lon2LW4Q2Wdfq3SdkBj34i_mKA_aem_hwAknMLwY6WQM4KXH1x4dQ","https://instagram.com/","zh86jn","InstagramApp","Mobile","iOS","Korea","1","0","FALSE","https://clarity.microsoft.com/player/x4avf9oig2/zh86jn/nsmu3r/?ss=1781329719000&sd=16"
