# ----------------------------------------
# 이벤트: 이벤트 이름
# 계정: SYSO
# 속성: SYSO Landing MVP
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260517
# 종료일: 20260613
이벤트 이름,이벤트 수,총 사용자,활성 사용자당 이벤트 수,총수익
page_view,396,110,3.6,0
session_start,148,115,1.2869565217391303,0
section_view,123,18,6.833333333333333,0
first_visit,115,115,1,0
scroll,115,37,3.108108108108108,0
user_engagement,107,15,7.133333333333334,0
scroll_depth,104,19,5.473684210526316,0
scroll_50,76,21,3.619047619047619,0
scroll_75,52,12,4.333333333333333,0
scroll_100,38,11,3.4545454545454546,0
waitlist_page_view,30,9,3.3333333333333335,0
purchase_intent_click,26,8,3.25,0
cta_click,23,8,2.875,0
survey_start,15,5,3,0
survey_complete,12,3,4,0
generate_lead,10,2,5,0
click,6,6,1,0
social_click,6,6,1,0
email_capture,1,1,1,0
form_start,1,1,1,0
phone_capture,1,1,1,0
